#chr	start	end	name	othernames	status
3	261680	262880			Dubious
3	272844	273088	ARS316	proARS316	Confirmed
3	292524	292826	ARS317	proARS317, proARS318	Confirmed
3	294396	295027	ARS318		Confirmed
3	304363	311363			Likely
3	315346	316232	ARS319	X-ARS	Confirmed
4	137	1392	ARS400		Confirmed
4	7596	11052		proARS401, proARS402	Likely
4	15492	15739	ARS403	proARS403	Confirmed
4	21265	22262	ARS402.5		Confirmed
4	46181	46237	ARS404	HO, proARS404	Confirmed
4	50245	50955			Likely
4	85945	86177	ARS405	proARS405	Confirmed
4	95435	96145			Likely
4	100380	101355	ARS405.5		Confirmed
4	123617	123902	ARS406	proARS406	Confirmed
4	137445	137808	ARS407	proARS407	Confirmed
4	157744	158235	ARS408	proARS408	Confirmed
4	169101	170301			Dubious
4	212420	212669	ARS409	proARS409	Confirmed
4	212806	227806			Dubious
4	232140	232618	ARS409.3		Confirmed
4	235935	236184	ARS409.5		Confirmed
4	253789	254038	ARS410	proARS410	Confirmed
4	256029	257132		proARS411	Likely
4	316719	317111	ARS412	proARS412	Confirmed
4	329564	329813	ARS413	proARS413	Confirmed
4	350835	351804	ARS413.5		Confirmed
4	357806	359006			Dubious
4	384232	385432			Dubious
4	408070	408312	ARS414	proARS414	Confirmed
4	435056	435388	ARS415	proARS415	Confirmed
4	443318	444447			Likely
4	462430	462700	ARS416	ARS1, proARS416	Confirmed
4	476003	477577			Likely
4	483846	484091	ARS417	proARS417	Confirmed
4	505336	505578	ARS417.5	ARS450	Confirmed
4	555224	555461	ARS418	proARS418	Confirmed
4	567490	567737	ARS419	proARS419	Confirmed
4	603407	618407			Dubious
4	629072	629669	ARS420	proARS420	Confirmed
4	639859	640108	ARS421	proARS421	Confirmed
4	641291	648291			Likely
4	689045	689755			Dubious
4	702879	703125	ARS422	ARO1, proARS422	Confirmed
4	719873	721227			Likely
4	731940	746940			Dubious
4	748384	748630	ARS422.5	ARS451	Confirmed
4	753159	753391	ARS423	proARS423	Confirmed
4	763412	764716		proARS424	Dubious
4	774291	781291			Dubious
4	783453	798453			Dubious
4	806044	806270	ARS425	proARS425	Confirmed
4	812961	827961			Dubious
4	832409	834359		proARS426	Dubious
4	844597	845593	ARS426.5		Confirmed
4	858640	859840			Likely
4	875791	882791			Likely
4	898253	899887		proARS427	Likely
4	903824	904655	ARS427.5		Confirmed
4	913780	914029	ARS428	proARS428	Confirmed
4	921682	921930	ARS429	proARS429	Confirmed
4	942983	943975	ARS429.5		Confirmed
4	954024	955224			Dubious
4	970250	980250			Likely
4	987000	995000			Dubious
4	1016624	1016922	ARS430	proARS430	Confirmed
4	1021545	1022255			Likely
4	1033069	1034182	ARS430.5		Confirmed
4	1057828	1058076	ARS431	proARS431	Confirmed
4	1109955	1110196	ARS431.5	ARS452	Confirmed
4	1130672	1131155	ARS431.7		Confirmed
4	1132291	1139291			Dubious
4	1159250	1159499	ARS432	proARS432	Confirmed
4	1165998	1166221	ARS432.5	ARS453	Confirmed
4	1199800	1209800			Likely
4	1240869	1241098	ARS433	proARS433	Confirmed
4	1274655	1275365			Dubious
4	1276212	1276440	ARS434	proARS434	Confirmed
4	1302579	1302819	ARS435	proARS435	Confirmed
4	1305246	1306801		proARS436	Dubious
4	1307650	1308850			Likely
4	1353494	1353667	ARS437	proARS437	Confirmed
4	1355087	1356599		proARS438	Dubious
4	1379198	1380752		proARS439	Likely
4	1385151	1385630	ARS439.5		Confirmed
4	1404277	1404512	ARS440	proARS440	Confirmed
4	1428935	1429645			Dubious
4	1447298	1448928	ARS441	proARS441	Confirmed
4	1454012	1455590		proARS442	Likely
4	1461849	1462161	ARS442	proARS443	Confirmed
4	1468121	1469948		proARS444	Dubious
4	1469966	1471048		proARS445	Dubious
4	1486905	1487149	ARS446	proARS446	Confirmed
4	1495291	1502291			Likely
4	1502624	1503221	ARS447	proARS447	Confirmed
4	1505300	1507153		proARS448	Likely
4	1522298	1526152		proARS449	Likely
4	1530848	1531802			Dubious
5	23	1144			Dubious
5	4097	4185	ARS502	Y'-ARS, proARS502	Confirmed
5	6464	7230	ARS503	proARS503	Confirmed
5	8786	10019	ARS504	proARS504	Confirmed
5	11713	12194	ARS504.2	proARS505	Confirmed
5	17067	19023		proARS506	Likely
5	59282	59516	ARS507	proARS507	Confirmed
5	67665	68709			Dubious
5	93977	94218	ARS508	proARS508	Confirmed
5	108553	110467		proARS509	Likely
5	145539	145782	ARS510	proARS510	Confirmed
5	164051	165251			Dubious
5	173636	173874	ARS511	proARS511	Confirmed
5	183823	184697			Dubious
5	192493	192926	ARS511.5		Confirmed
5	212381	212630	ARS512	proARS512	Confirmed
5	255623	256957			Likely
5	276127	276526	ARS513.5		Confirmed
5	278073	278355	ARS513.7		Confirmed
5	287504	287750	ARS514	proARS514	Confirmed
5	301565	302061	ARS514.5		Confirmed
5	316043	317307			Likely
5	353504	353751	ARS516	tRNAgluARS, proARS516	Confirmed
5	406747	406949	ARS517	proARS517	Confirmed
5	418015	418725			Dubious
5	429861	431061			Likely
5	438929	439178	ARS518	proARS518	Confirmed
5	442412	442731	ARS519	proARS519	Confirmed
5	477886	484886			Dubious
5	498417	499343	ARS520	proARS520	Confirmed
5	502951	517951			Dubious
5	520767	521025	ARS521		Confirmed
5	549560	549809	ARS522	ARS501, proARS522	Confirmed
5	559886	566886			Likely
5	569020	570085	ARS523	proARS523	Confirmed
5	575573	576817			Dubious
6	23	1527			Likely
6	5435	6155	ARS600.1	ARS120; X-ARS, proARS600.1	Confirmed
6	12174	13028	ARS600.2	proARS600.2	Confirmed
6	18682	19864	ARS600.3	proARS600.3, proARS600.4	Confirmed
6	19669	20826	ARS600.4	proARS600.3, proARS600.4	Confirmed
6	32472	32995	ARS601	proARS601/proARS602	Confirmed
6	32666	33247	ARS602	proARS601/proARS602	Confirmed
6	51814	55080			Dubious
6	61781	62981			Likely
6	68690	68869	ARS603	proARS603	Confirmed
6	95000	103000			Likely
6	104456	104695	ARS603.1		Confirmed
6	118631	118952	ARS603.5	proARS603.5	Confirmed
6	127745	128066	ARS604		Confirmed
6	135979	136080	ARS605	proARS605	Confirmed
6	167606	168041	ARS606	proARS606	Confirmed
6	199382	199493	ARS607	proARS607	Confirmed
6	216344	216692	ARS608		Confirmed
6	228091	243091			Dubious
6	253316	253800	ARS608.5		Confirmed
6	256263	256418	ARS609	proARS609	Confirmed
6	268255	268965		proARS610	Likely
6	269404	270022	ARS610	proARS610	Confirmed
7	23	778			Dubious
7	6261	8789			Likely
7	17629	18112	ARS700.5		Confirmed
7	22647	29647			Likely
7	31980	34434			Likely
7	64279	64528	ARS702	proARS702	Confirmed
7	68830	70170		proARS703	Dubious
7	112080	112319	ARS704	proARS704	Confirmed
7	114385	115095		proARS705	Likely
7	117471	117955	ARS706	ARO8, proARS706	Confirmed
7	163180	163447	ARS707	proARS707	Confirmed
7	165725	167856		proARS708	Dubious
7	170773	172017			Likely
7	187241	187651	ARS709	proARS709	Confirmed
7	203917	204159	ARS710	proARS710	Confirmed
7	231909	231984	ARS711	ARS701; ARS137	Confirmed
7	240972	241441	ARS712	proARS712	Confirmed
7	266526	267726			Likely
7	268879	270680		proARS713	Likely
7	274818	275367			Likely
7	285951	286246	ARS714	proARS714	Confirmed
7	287952	289013		proARS715	Likely
7	318745	319455			Likely
7	330395	345395			Dubious
7	352695	352917	ARS716	proARS716	Confirmed
7	388658	388892	ARS717	proARS717	Confirmed
7	421093	421342	ARS718	proARS718	Confirmed
7	456272	457472			Dubious
7	479993	482537			Likely
7	484932	485160	ARS719	proARS719	Confirmed
7	508729	508978	ARS720	proARS720	Confirmed
7	534750	544750			Likely
7	552053	553847			Dubious
7	568490	568738	ARS721	proARS721	Confirmed
7	574622	574916	ARS722	proARS722	Confirmed
7	574978	576840		proARS723	Likely
7	580930	582707		proARS724	Dubious
7	591600	592800			Dubious
7	607176	607619	ARS724.5		Confirmed
7	620243	622517			Likely
7	626577	627912		proARS725	Dubious
7	653611	654091	ARS726	proARS726	Confirmed
7	659809	660054	ARS727	proARS727	Confirmed
7	715273	715556	ARS728	proARS728	Confirmed
7	735570	750570			Dubious
7	765451	766651			Dubious
7	777967	778216	ARS729	proARS729	Confirmed
7	795134	796306		proARS730	Likely
7	800891	802091			Likely
7	834492	834736	ARS731	proARS731	Confirmed
7	845923	848287			Likely
7	855121	870121			Dubious
7	882813	883747			Dubious
7	888350	888599	ARS731.5	ARS737	Confirmed
7	916675	917170	ARS732	proARS732	Confirmed
7	969741	970941			Likely
7	977730	977979	ARS733	proARS733	Confirmed
7	999448	999695	ARS734	proARS734	Confirmed
7	1002182	1002571	ARS735	proARS735	Confirmed
7	1004198	1006102			Likely
7	1033147	1040147			Dubious
7	1063254	1063715	ARS735.5		Confirmed
7	1073298	1074352			Likely
7	1082959	1084336	ARS131a	X-ARS, proARS736	Confirmed
7	1089548	1090902			Likely
8	23	1245			Dubious
8	5158	6168	ARS131n	X-ARS, proARS801	Confirmed
8	7534	7782	ARS802	proARS802	Confirmed
8	9711	11566		proARS803	Likely
8	45589	46076	ARS804	proARS804	Confirmed
8	56650	59172			Likely
8	64255	64489	ARS805	SPO11, proARS805	Confirmed
8	77690	78890			Dubious
8	87472	89452			Dubious
8	94759	95192	ARS805.5		Confirmed
8	111293	111766	ARS805.7		Confirmed
8	115683	117257		proARS806	Likely
8	133347	133591	ARS807		Confirmed
8	134268	135517		proARS807	Likely
8	140340	141265	ARS808	ARS2, ARS808	Confirmed
8	168531	168773	ARS809	proARS809	Confirmed
8	192459	193659			Likely
8	197814	199014			Likely
8	213179	213861	ARS810	proARS810	Confirmed
8	214885	215595		proARS811	Likely
8	218344	219498		proARS812	Likely
8	245719	245968	ARS813	proARS813	Confirmed
8	253470	268470			Dubious
8	279858	281058			Dubious
8	286650	287981		proARS814	Likely
8	296882	297475	ARS815	proARS815	Confirmed
8	344375	345085			Likely
8	359469	359928	ARS816	proARS816	Confirmed
8	363335	370335			Likely
8	380153	382157		proARS817	Likely
8	392148	392391	ARS818	proARS818, proARS819	Confirmed
8	406012	406508	ARS818.5		Confirmed
8	447619	447853	ARS820	proARS820	Confirmed
8	451493	453397			Dubious
8	474309	474793	ARS821	proARS821	Confirmed
8	501751	501992	ARS822	proARS822	Confirmed
8	504563	505207			Dubious
8	520016	520630	ARS823	proARS823	Confirmed
8	535403	535836	ARS823.5		Confirmed
8	550163	551317			Likely
8	553135	553845			Dubious
8	555996	556327	ARS824	X-ARS, proARS824	Confirmed
8	561013	562587			Dubious
9	23	2400			Dubious
9	6794	9748		proARS902	Likely
9	10094	11992		proARS903	Dubious
9	15901	19066		proARS904	Likely
9	30065	31646			Likely
9	33335	33803	ARS905	proARS905	Confirmed
9	50806	52259		proARS906	Dubious
9	73803	74220	ARS907	proARS907	Confirmed
9	80058	80557	ARS908	proARS908	Confirmed
9	105821	106048	ARS909	proARS909	Confirmed
9	112737	114306		proARS910	Dubious
9	136094	136335	ARS911	proARS911	Confirmed
9	162936	163302	ARS911.5		Confirmed
9	175034	175355	ARS912	proARS912	Confirmed
9	179591	186591			Likely
9	189523	190747			Likely
9	197187	198387			Dubious
9	201591	208591			Likely
9	214675	214826	ARS913	ARS901, proARS913	Confirmed
9	216591	223591			Likely
9	224943	227297			Likely
9	230258	245258			Dubious
9	245694	245932	ARS913.5	ARS923	Confirmed
9	247579	247800	ARS914	proARS914	Confirmed
9	247893	249347		proARS915	Likely
9	279618	280818			Likely
9	307699	309073		proARS916	Dubious
9	310583	311070	ARS916	proARS917	Confirmed
9	313359	314533		proARS918	Dubious
9	320853	324347			Dubious
9	327348	328548			Dubious
9	341853	342096	ARS919	proARS919	Confirmed
9	357156	357393	ARS920	proARS920	Confirmed
9	362421	363718		proARS921	Dubious
9	405633	407617			Likely
9	411817	412053	ARS922	proARS922	Confirmed
9	432496	432994	ARS922.5		Confirmed
9	437553	439847			Likely
10	64	577	ARS1001	Y'-ARS, proARS1001	Confirmed
10	7444	7943	ARS1002	X-ARS, proARS1002	Confirmed
10	16123	16762	ARS1003	proARS1003	Confirmed
10	23661	24158	ARS1004	proARS1004	Confirmed
10	44433	51433			Dubious
10	67467	67949	ARS1005	proARS1005	Confirmed
10	99359	99796	ARS1006	proARS1006	Confirmed
10	113226	113828	ARS1007	proARS1007	Confirmed
10	120693	121777			Dubious
10	134000	144000			Dubious
10	161435	161860	ARS1007.5		Confirmed
10	167433	174433			Likely
10	203729	204614	ARS1008	proARS1008	Confirmed
10	204755	219755			Dubious
10	228248	228740	ARS1009	proARS1009	Confirmed
10	248600	249300	ARS1009.5		Confirmed
10	268050	269250			Likely
10	298471	298952	ARS1010	proARS1010	Confirmed
10	301433	308433			Likely
10	324821	326021			Dubious
10	336976	337225	ARS1011	proARS1011	Confirmed
10	353463	355722			Likely
10	374575	374818	ARS1012	proARS1012	Confirmed
10	375401	375923	ARS1013	proARS1013	Confirmed
10	405545	406255			Dubious
10	416888	417134	ARS1014	proARS1014	Confirmed
10	442248	442658	ARS1015	proARS1015	Confirmed
10	454276	455248	ARS1016		Confirmed
10	459029	459588	ARS1017		Confirmed
10	469670	479670			Likely
10	501595	502525	ARS1017.5		Confirmed
10	540239	540474	ARS1018	proARS1018	Confirmed
10	609000	609750	ARS1018.5		Confirmed
10	612542	612975	ARS1019	proARS1019	Confirmed
10	627618	628818			Dubious
10	643813	644767			Likely
10	654069	654309	ARS1020	proARS1020	Confirmed
10	683328	683817	ARS1021	ARS121, proARS1021	Confirmed
10	701663	702677			Dubious
10	711590	711837	ARS1022	proARS1022	Confirmed
10	713860	723860			Likely
10	729677	730208	ARS1023	proARS1023	Confirmed
10	736728	736970	ARS1024	proARS1024	Confirmed
10	744102	744703	ARS1025	proARS1025	Confirmed
11	23	2746		proARS1101	Likely
11	7397	9007		proARS1102	Likely
11	15455	16165			Likely
11	16262	31262			Dubious
11	42110	42563	ARS1102.5		Confirmed
11	55670	55917	ARS1103	proARS1103	Confirmed
11	88291	89789		proARS1104	Dubious
11	98329	98568	ARS1104.5	ARS1125	Confirmed
11	113073	115127		proARS1105	Likely
11	145433	145893	ARS1105.5		Confirmed
11	152934	153173	ARS1106	proARS1106	Confirmed
11	163723	164287			Dubious
11	169021	170221			Dubious
11	196038	196284	ARS1106.3	ARS1126	Confirmed
11	199886	200537	ARS1106.5		Confirmed
11	213080	213385	ARS1106.7	ARS1127	Confirmed
11	235293	236577			Likely
11	257390	257839	ARS1107	proARS1107	Confirmed
11	302152	302524	ARS1107.5		Confirmed
11	313669	314957		proARS1108	Dubious
11	326153	327067			Dubious
11	329322	329571	ARS1109	proARS1109	Confirmed
11	333114	334557		proARS1110	Likely
11	343388	345027			Dubious
11	381210	382623		proARS1111	Dubious
11	388607	388902	ARS1112	proARS1112	Confirmed
11	416822	417055	ARS1113	proARS1113	Confirmed
11	444561	445028	ARS1113.5		Confirmed
11	447657	447892	ARS1114	proARS1114	Confirmed
11	454453	459197	ARS1114.5		Confirmed
11	462033	463697		proARS1115	Likely
11	467721	468921			Dubious
11	500415	501125			Likely
11	516653	516902	ARS1116	proARS1116	Confirmed
11	519333	520547			Dubious
11	530070	530560	ARS1117	proARS1117	Confirmed
11	560925	561635			Dubious
11	581468	581706	ARS1118	proARS1118	Confirmed
11	583883	585091		proARS1119	Dubious
11	611874	612107	ARS1120	proARS1120	Confirmed
11	616672	618133		proARS1121	Dubious
11	632003	634377		proARS1122	Likely
11	642355	642602	ARS1123	proARS1123	Confirmed
11	658278	666417		proARS1124	Likely
12	23	2077			Likely
12	5107	7993			Dubious
12	10642	13971		proARS1201	Dubious
12	28749	32505		proARS1202	Dubious
12	51860	52210	ARS1203	proARS1203	Confirmed
12	70574	72392		proARS1204	Dubious
12	76711	77163	ARS1205	proARS1205	Confirmed
12	91417	91659	ARS1206	proARS1206	Confirmed
12	93166	93659	ARS1206.5		Confirmed
12	139293	140447		proARS1207	Dubious
12	150914	151421	ARS1208	CEN12 ARS	Confirmed
12	156646	156883	ARS1209	proARS1209	Confirmed
12	170108	171308			Dubious
12	179332	194332			Dubious
12	197913	199417			Dubious
12	222410	222792	ARS1210	proARS1210	Confirmed
12	231179	231422	ARS1211	proARS1211	Confirmed
12	243527	243960	ARS1211.5		Confirmed
12	278304	285304			Dubious
12	289220	289469	ARS1212	proARS1212	Confirmed
12	295693	296893			Dubious
12	312000	320000			Dubious
12	343577	344033	ARS1212.5		Confirmed
12	373156	373400	ARS1213	proARS1213	Confirmed
12	384035	385226		proARS1214	Dubious
12	412668	412897	ARS1215	proARS1215	Confirmed
12	418855	419565			Dubious
12	426942	441942			Dubious
12	450485	450726	ARS1216	proARS1216	Confirmed
12	458826	459141	ARS1216.5	rDNA ARS	Confirmed
12	460225	460935			Dubious
12	466233	468907			Dubious
12	493903	494987			Dubious
12	512868	513117	ARS1217	proARS1217	Confirmed
12	595804	602804			Dubious
12	602938	603155	ARS1218	proARS1218	Confirmed
12	606423	607627			Dubious
12	612500	622500			Dubious
12	622672	623123	ARS1219	proARS1219	Confirmed
12	637013	639757			Dubious
12	644937	645426	ARS1219.7		Confirmed
12	659823	660072	ARS1220	proARS1220	Confirmed
12	687249	687738	ARS1220.5		Confirmed
12	720284	721918		proARS1221	Dubious
12	730275	730832	ARS1222	proARS1222	Confirmed
12	744942	745179	ARS1223	proARS1223	Confirmed
12	748375	749534		proARS1224	Dubious
12	768982	771133		proARS1225	Dubious
12	785588	786917			Dubious
12	794020	794269	ARS1226	proARS1226	Confirmed
12	806063	806787			Dubious
12	821907	822336	ARS1227	proARS1227	Confirmed
12	838103	839237			Dubious
12	848630	863630			Dubious
12	865637	880637			Dubious
12	888569	888810	ARS1227.5	ARS1238	Confirmed
12	919299	921493		proARS1228	Dubious
12	928051	928540	ARS1229	proARS1229	Confirmed
12	930388	931561		proARS1230	Dubious
12	947908	948358	ARS1231	proARS1231	Confirmed
12	972200	982200			Dubious
12	1007180	1007470	ARS1232	proARS1232	Confirmed
12	1013789	1014017	ARS1233	proARS1233	Confirmed
12	1016304	1023304			Likely
12	1023967	1024207	ARS1234	proARS1234	Confirmed
12	1042798	1043952			Likely
12	1052304	1059304			Likely
12	1059486	1059919	ARS1235	proARS1235	Confirmed
12	1062398	1065752		proARS1236	Likely
12	1070198	1071952		proARS1237	Likely
12	1077198	1078102			Dubious
13	23	1261			Likely
13	4983	7702		proARS1301	Likely
13	8791	10699		proARS1302	Likely
13	23852	25691			Dubious
13	31687	31935	ARS1303	proARS1303	Confirmed
13	39922	40355	ARS1304	proARS1304	Confirmed
13	44666	45681			Likely
13	49645	50141	ARS1304.5		Confirmed
13	50257	65257			Dubious
13	73874	74373	ARS1304.7		Confirmed
13	94216	94463	ARS1305	proARS1305	Confirmed
13	111844	113013		proARS1306	Dubious
13	137299	137548	ARS1307	proARS1307	Confirmed
13	158846	159279	ARS1307.5		Confirmed
13	183793	184037	ARS1308	proARS1308	Confirmed
13	198000	208000			Dubious
13	227023	227487			Likely
13	263062	263296	ARS1309	proARS1309	Confirmed
13	268223	269987			Likely
13	277965	278675			Dubious
13	286782	287067	ARS1310	proARS1310	Confirmed
13	289203	290548		proARS1311	Likely
13	305792	320792			Dubious
13	339413	340377			Dubious
13	341313	342207			Likely
13	370976	371221	ARS1312	proARS1312	Confirmed
13	372017	373196		proARS1313	Dubious
13	394800	396000			Dubious
13	416373	418127			Dubious
13	420429	421629		proARS1314	Likely
13	432851	433347	ARS1315	proARS1315	Confirmed
13	468177	468468	ARS1316	proARS1316	Confirmed
13	477105	478800		proARS1317	Dubious
13	480233	483637			Likely
13	489950	491960		proARS1318	Dubious
13	503346	504087	ARS1319	proARS1319	Confirmed
13	535595	535843	ARS1320	proARS1320	Confirmed
13	542380	543477		proARS1321	Dubious
13	554392	554750	ARS1322	proARS1322	Confirmed
13	568128	569097			Likely
13	569500	577500			Likely
13	611273	611488	ARS1323	proARS1323	Confirmed
13	634479	634714	ARS1324	proARS1324	Confirmed
13	649307	649551	ARS1325	proARS1325	Confirmed
13	688766	689221	ARS1326	proARS1326	Confirmed
13	723574	730574			Likely
13	758222	758470	ARS1327	proARS1327	Confirmed
13	759074	766074			Likely
13	772629	772878	ARS1328	proARS1328	Confirmed
13	778857	793857			Dubious
13	805116	805338	ARS1329	proARS1329	Confirmed
13	815341	815567	ARS1330	proARS1330	Confirmed
13	836823	838167		proARS1331	Likely
13	865288	865683	ARS1331.5		Confirmed
13	878619	879115	ARS1331.7		Confirmed
13	897804	898040	ARS1332	proARS1332	Confirmed
13	918073	919137		proARS1333	Likely
13	922023	924397		proARS1335	Likely
14	50	2241			Likely
14	6282	10914		proARS1402, proARS1403	Likely
14	13998	16375		proARS1404	Likely
14	28467	28699	ARS1405	proARS1405	Confirmed
14	28756	43756			Dubious
14	61597	61894	ARS1406	proARS1406	Confirmed
14	84295	85005			Likely
14	89528	89802	ARS1407	proARS1407	Confirmed
14	94299	95721		proARS1408	Dubious
14	95745	96961		proARS1409	Dubious
14	111000	121000			Likely
14	126488	126981	ARS1410	proARS1410	Confirmed
14	136575	137285			Likely
14	151280	166280			Dubious
14	169566	169804	ARS1411	proARS1411	Confirmed
14	172784	187784			Dubious
14	196055	196291	ARS1412	proARS1412	Confirmed
14	234458	235658			Dubious
14	250259	250506	ARS1413	proARS1413	Confirmed
14	252383	254147			Likely
14	279875	280108	ARS1414	proARS1414	Confirmed
14	321917	322210	ARS1415	proARS1415	Confirmed
14	324551	325764		proARS1416	Likely
14	342963	344117			Likely
14	352509	352996	ARS1311.7		Confirmed
14	357215	357925			Likely
14	358745	359455			Likely
14	412263	412493	ARS1417	proARS1417	Confirmed
14	415731	416931		proARS1418	Likely
14	430969	437969			Dubious
14	449343	449588	ARS1419	proARS1419	Confirmed
14	451838	466838			Dubious
14	498987	499232	ARS1420	proARS1420	Confirmed
14	512969	519969			Likely
14	545966	546201	ARS1421	proARS1421	Confirmed
14	550890	560890			Likely
14	561106	561384	ARS1422	proARS1422	Confirmed
14	567715	569020		proARS1423	Likely
14	573000	581000			Dubious
14	586688	587888			Dubious
14	609458	609706	ARS1424	proARS1424	Confirmed
14	615807	617621		proARS1425	Likely
14	635660	635901	ARS1426	proARS1426	Confirmed
14	648876	663876			Dubious
14	675502	676702			Dubious
14	691482	691727	ARS1427	proARS1427	Confirmed
14	703843	705667			Dubious
14	713642	714136	ARS1428	proARS1428	Confirmed
14	731085	731795			Dubious
14	734135	734845			Likely
14	738550	738982	ARS1428.5		Confirmed
14	764001	764500	ARS1429	proARS1429	Confirmed
14	769969	776969			Likely
14	781453	784287		proARS1430	Likely
15	23	2646		proARS1503	Likely
15	9761	12672		proARS1504, proARS1505	Likely
15	18367	20227		proARS1506	Likely
15	22523	24675			Likely
15	35667	35903	ARS1506.5	ARS1531	Confirmed
15	37750	52750			Dubious
15	72636	72872	ARS1507	proARS1507	Confirmed
15	74000	84000			Likely
15	85195	85444	ARS1508	proARS1508	Confirmed
15	103253	104167			Likely
15	113843	114084	ARS1509	proARS1509	Confirmed
15	128922	130182	ARS1509.3		Confirmed
15	154972	155462	ARS1509.5		Confirmed
15	159203	160567			Dubious
15	166974	167220	ARS1510	proARS1510	Confirmed
15	227481	228117	ARS1510.5		Confirmed
15	237752	252752			Dubious
15	268585	269295			Dubious
15	277529	277778	ARS1511	proARS1511	Confirmed
15	308969	309462	ARS1512	proARS1512	Confirmed
