Gene > Primary SGDID	Gene > Systematic Name	Gene > Standard Name	Gene > Name	Gene > Alias	Gene > Length
S000000030	YAL032C	PRP45	Pre-mRNA Processing	FUN20	1140
S000000031	YAL033W	POP5	Processing Of Precursor RNAs	FUN53	522
S000000032	YAL034W-A	MTW1	Mis TWelve-like	DSN3 NSL2	870
S000000033	YAL035W	FUN12	Function Unknown Now	yIF2 eIF5B	3009
S000000034	YAL036C	RBG1	RiBosome interacting Gtpase	FUN11	1110
S000000035	YAL037W	""	""	""	804
S000000036	YAL038W	CDC19	Cell Division Cycle	PYK1 pyruvate kinase CDC19	1503
S000000037	YAL039C	CYC3	CYtochrome C	cytochrome c heme lyase CCHL holocytochrome c synthase CYC3	810
S000000038	YAL040C	CLN3	CycLiN	WHI1 FUN10 DAF1	1743
S000000039	YAL041W	CDC24	Cell Division Cycle	CLS4	2565
S000000040	YAL042W	ERV46	ER Vesicle	FUN9	1248
S000000041	YAL043C	PTA1	Pre-Trna Accumulation	FUN39	2358
S000000042	YAL044C	GCV3	GlyCine cleaVage	glycine decarboxylase subunit H	513
S000000043	YAL045C	""	""	""	309
S000000044	YAL046C	AIM1	Altered Inheritance of Mitochondria	""	357
S000000045	YAL047C	SPC72	Spindle Pole Component	LDB4	1869
S000000046	YAL048C	GEM1	GTPase EF-hand protein of Mitochondria	GON1	1989
S000000047	YAL049C	AIM2	Altered Inheritance rate of Mitochondria	""	741
S000000048	YAL051W	OAF1	Oleate-Activated transcription Factor	YAF1	3144
S000000049	YAL053W	FLC2	FLavin Carrier	HUF2	2352
S000000050	YAL054C	ACS1	Acetyl CoA Synthetase	acetate--CoA ligase 1 FUN44	2142
S000000051	YAL055W	PEX22	PEroXisome related	YAF5	543
S000000052	YAL056W	GPB2	""	KRH1	2643
S000000054	YAL058W	CNE1	CalNExin and calreticulin homolog	FUN48	1509
S000000055	YAL059W	ECM1	ExtraCellular Mutant	""	639
S000000056	YAL060W	BDH1	Butanediol DeHydrogenase	BDH (2R,3R)-2,3-butanediol dehydrogenase (R,R)-butanediol dehydrogenase	1149
S000000057	YAL061W	BDH2	""	putative dehydrogenase BDH2	1254
S000000058	YAL062W	GDH3	Glutamate DeHydrogenase	FUN51 glutamate dehydrogenase (NADP(+)) GDH3	1374
S000000059	YAL063C	FLO9	FLOcculation	""	3969
S000000060	YAL064W	""	""	""	285
S000000061	YAL066W	""	""	""	309
S000000062	YAL067C	SEO1	Suppressor of sulfoxyde EthiOnine resistance	""	1782
S000000063	YAR002W	NUP60	NUclear Pore	""	1620
S000000064	YAR003W	SWD1	Set1c, WD40 repeat protein	FUN16 SAF49 CPS50	1281
S000000065	YAR007C	RFA1	Replication Factor A	RPA1 BUF2 RPA70 FUN3	1866
S000000066	YAR008W	SEN34	Splicing ENdonuclease	tRNA splicing endonuclease subunit FUN4	828
S000000069	YAR014C	BUD14	BUD site selection	""	2130
S000000070	YAR015W	ADE1	ADEnine requiring	phosphoribosylaminoimidazolesuccinocarboxamide synthase	921
S000000071	YAR018C	KIN3	protein KINase	NPK1 FUN52	1308
S000000072	YAR019C	CDC15	Cell Division Cycle	LYT1	2925
S000000073	YAR020C	PAU7	seriPAUperin family	""	168
S000000074	YAR023C	""	""	""	540
S000000075	YAR027W	UIP3	Ulp1 Interacting Protein	""	708
S000000076	YAR028W	""	""	""	705
S000000077	YAR029W	""	""	""	225
S000000078	YAR031W	PRM9	Pheromone-Regulated Membrane protein	""	897
S000000079	YAR033W	MST28	Multicopy suppressor of Sec Twenty one	""	705
S000000080	YAR035W	YAT1	""	carnitine O-acetyltransferase YAT1	2064
S000000081	YAR042W	SWH1	""	YAR044W OSH1	3567
S000000083	YAR047C	""	""	""	321
S000000084	YAR050W	FLO1	FLOcculation	FLO4 FLO2	4614
S000000085	YAR053W	""	""	""	297
S000000086	YAR060C	""	""	""	336
S000000089	YAR064W	""	""	""	300
S000000091	YAR068W	""	""	""	486
S000000092	YAR069C	""	""	""	294
S000000093	YAR070C	""	""	""	300
S000000094	YAR071W	PHO11	PHOsphate metabolism	""	1404
S000000095	YAR073W	IMD1	IMP Dehydrogenase	""	1212
S000000097	YBL001C	ECM15	ExtraCellular Mutant	""	315
S000000098	YBL002W	HTB2	Histone h Two B	""	396
S000000099	YBL003C	HTA2	Histone h Two A	H2A2	399
S000000100	YBL004W	UTP20	U Three Protein	""	7482
S000000101	YBL005W	PDR3	Pleiotropic Drug Resistance	AMY2 TPE2	2931
S000000102	YBL006C	LDB7	Low Dye Binding	RSC14	543
S000000103	YBL007C	SLA1	Synthetic Lethal with ABP1	""	3735
S000000104	YBL008W	HIR1	HIstone Regulation	""	2523
S000000105	YBL009W	ALK2	""	""	2031
S000000106	YBL010C	""	""	""	843
S000000107	YBL011W	SCT1	Suppressor of Choline-Transport mutants	bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1 GAT2	2280
S000000108	YBL012C	""	""	""	402
S000000109	YBL013W	FMT1	Formyl-Methionyl-tRNA Transformylase	methionyl-tRNA transformylase	1206
S000000110	YBL014C	RRN6	Regulation of RNA polymerase I	""	2685
S000000111	YBL015W	ACH1	Acetyl CoA Hydrolase	""	1581
S000000112	YBL016W	FUS3	cell FUSion	DAC2	1062
S000000113	YBL017C	PEP1	carboxyPEPtidase Y-deficient	VPS10 VPT1	4740
S000000114	YBL018C	POP8	Processing Of Precursor RNAs	""	477
S000000115	YBL019W	APN2	APurinic/apyrimidinic eNdonuclease	ETH1 DNA-(apurinic or apyrimidinic site) lyase APN2	1563
S000000116	YBL020W	RFT1	Requiring Fifty-Three	""	1725
S000000117	YBL021C	HAP3	Heme Activator Protein	""	435
S000000118	YBL022C	PIM1	Proteolysis In Mitochondria	LON1	3402
S000000119	YBL023C	MCM2	MiniChromosome Maintenance	""	2607
S000000120	YBL024W	NCL1	NuCLear protein	TRM4	2055
S000000121	YBL025W	RRN10	Regulation of RNA polymerase I	""	438
S000000122	YBL026W	LSM2	Like SM	SMX5 SNP3	416
S000000123	YBL027W	RPL19B	Ribosomal Protein of the Large subunit	L23B ribosomal 60S subunit protein L19B L19e rpl5L YL14 L19B	954
S000000124	YBL028C	""	""	""	321
S000000125	YBL029W	""	""	""	1131
S000000126	YBL030C	PET9	PETite colonies	AAC2 ANC2 OP1	957
S000000127	YBL031W	SHE1	Sensitivity to High Expression	""	1017
S000000128	YBL032W	HEK2	HEterogeneous nuclear rnp K-like gene	KHD1	1146
S000000129	YBL033C	RIB1	RIBoflavin biosynthesis	GTP cyclohydrolase II	1038
S000000130	YBL034C	STU1	Suppressor of TUb2 mutation	""	4542
S000000131	YBL035C	POL12	POLymerase	""	2118
S000000132	YBL036C	""	""	""	774
S000000133	YBL037W	APL3	clathrin Adaptor Protein complex Large chain	""	3078
S000000134	YBL038W	MRPL16	Mitochondrial Ribosomal Protein, Large subunit	mitochondrial 54S ribosomal protein YmL47 YmL47	699
S000000135	YBL039C	URA7	URAcil requiring	CTP synthase URA7	1740
S000000136	YBL040C	ERD2	Endoplasmic reticulum Retention Defective	""	757
S000000137	YBL041W	PRE7	PRoteinase yscE	PRS3 proteasome core particle subunit beta 6	726
S000000138	YBL042C	FUI1	5-FlUorourIdine resistance	""	1920
S000000139	YBL043W	ECM13	ExtraCellular Mutant	""	774
S000000140	YBL044W	""	""	""	369
S000000141	YBL045C	COR1	CORe protein of QH2 cytochrome c reductase	ubiquinol--cytochrome-c reductase subunit COR1 QCR1	1374
S000000142	YBL046W	PSY4	Platinum SensitivitY	""	1326
S000000143	YBL047C	EDE1	EH Domains and Endocytosis	BUD15	4146
S000000144	YBL048W	RRT1	Regulator of rDNA Transcription	""	312
S000000145	YBL049W	MOH1	""	""	417
S000000146	YBL050W	SEC17	SECretory	RNS3	995
S000000147	YBL051C	PIN4	Psi+ INducibility	MDT1	2007
S000000148	YBL052C	SAS3	Something About Silencing	KAT6	2496
S000000149	YBL053W	""	""	""	375
S000000150	YBL054W	TOD6	Twin Of Dot6p	PBF1	1578
S000000151	YBL055C	""	""	Tat-D 3'-5'-exodeoxyribonuclease	1257
S000000152	YBL056W	PTC3	Phosphatase Two C	""	1407
S000000153	YBL057C	PTH2	Peptidyl-Trna Hydrolase	""	627
S000000154	YBL058W	SHP1	Suppressor of High-copy PP1	UBX1	1272
S000000155	YBL059W	""	""	""	651
S000000156	YBL060W	YEL1	Yeast EFA6-Like	""	2064
S000000157	YBL061C	SKT5	""	CSD4 CHS4 CAL2	2091
S000000158	YBL062W	""	""	""	381
S000000159	YBL063W	KIP1	KInesin related Protein	CIN9	3336
S000000160	YBL064C	PRX1	PeroxiRedoXin	""	786
S000000161	YBL065W	""	""	""	345
S000000162	YBL066C	SEF1	Suppressor of Essential Function	""	3447
S000000163	YBL067C	UBP13	UBiquitin-specific Protease	""	2244
S000000164	YBL068W	PRS4	PhosphoRibosylpyrophosphate Synthetase	ribose phosphate diphosphokinase subunit PRS4	981
S000000165	YBL069W	AST1	ATPase STabilizing	""	1290
S000000166	YBL070C	""	""	""	321
S000000167	YBL071C	""	""	""	309
S000000168	YBL072C	RPS8A	Ribosomal Protein of the Small subunit	ribosomal 40S subunit protein S8A S8A S14A YS9 rp19 S8e	603
S000000169	YBL073W	""	""	""	312
S000000170	YBL074C	AAR2	A1-Alpha2 Repression	""	1068
S000000171	YBL075C	SSA3	Stress-Seventy subfamily A	Hsp70 family ATPase SSA3 YG106	1950
S000000172	YBL076C	ILS1	IsoLeucine-tRNA Synthetase	isoleucine--tRNA ligase ILS1 isoleucyl-tRNA synthetase	3219
S000000173	YBL077W	""	""	""	432
S000000174	YBL078C	ATG8	AuTophaGy related	APG8 CVT5 AUT7	354
S000000175	YBL079W	NUP170	NUclear Pore	NLE3	4509
S000000176	YBL080C	PET112	PETite colonies	glutamyl-tRNA(Gln) amidotransferase subunit PET112	1626
S000000177	YBL081W	""	""	""	1107
S000000178	YBL082C	ALG3	Asparagine Linked Glycosylation	dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase RHK1	1377
S000000179	YBL083C	""	""	""	426
S000000180	YBL084C	CDC27	Cell Division Cycle	SNB1 APC3 anaphase promoting complex subunit CDC27	2277
S000000181	YBL085W	BOI1	Bem1 (One) Interacting protein	GIN7 BOB1	2943
S000000182	YBL086C	""	""	""	1401
S000000183	YBL087C	RPL23A	Ribosomal Protein of the Large subunit	L23A L17aA ribosomal 60S subunit protein L23A YL32 L14	918
S000000184	YBL088C	TEL1	TELomere maintenance	""	8364
S000000185	YBL089W	AVT5	Amino acid Vacuolar Transport	""	1380
S000000186	YBL090W	MRP21	Mitochondrial Ribosomal Protein	MRP50 mitochondrial 37S ribosomal protein MRP21	534
S000000187	YBL091C	MAP2	Methionine AminoPeptidase	""	1266
S000000188	YBL092W	RPL32	Ribosomal Protein of the Large subunit	ribosomal 60S subunit protein L32 L32 L32e	393
S000000189	YBL093C	ROX3	Repressor Of hypoXic genes	MED19 SSN7 NUT3	663
S000000190	YBL094C	""	""	""	333
S000000191	YBL095W	""	""	""	813
S000000192	YBL096C	""	""	""	309
S000000193	YBL097W	BRN1	homolog of BaRreN	""	2265
S000000194	YBL098W	BNA4	Biosynthesis of Nicotinic Acid	kynurenine 3-monooxygenase	1383
S000000195	YBL099W	ATP1	ATP synthase	F1F0 ATP synthase subunit alpha	1638
S000000196	YBL100C	""	""	""	315
S000000197	YBL101C	ECM21	ExtraCellular Mutant	ART2	3354
S000000198	YBL102W	SFT2	Suppressor of sedFive Ts	""	648
S000000199	YBL103C	RTG3	ReTroGrade regulation	""	1461
S000000200	YBL104C	SEA4	SEh1-Associated	YBL103C-A	3117
S000000201	YBL105C	PKC1	Protein Kinase C	CLY5 CLY7 CLY15 HPO2 STT1	3456
S000000202	YBL106C	SRO77	Suppressor of rho3	SNI2 SOP2	3033
S000000203	YBL107C	MIC23	Mitochondrial Intermembrane space Cysteine motif protein	""	591
S000000204	YBL108W	""	""	""	306
S000000205	YBR001C	NTH2	Neutral TreHalase	alpha,alpha-trehalase NTH2	2343
S000000206	YBR002C	RER2	Retention in the Endoplasmic Reticulum	""	861
S000000207	YBR003W	COQ1	COenzyme Q	trans-hexaprenyltranstransferase	1422
S000000208	YBR004C	GPI18	GlycosylPhosphatidylInositol	FMP44	1302
S000000209	YBR005W	RCR1	Resistance to Congo Red	SSH6	642
S000000210	YBR006W	UGA2	Utilization of GAba	UGA5 succinate-semialdehyde dehydrogenase (NAD(P)(+))	1494
S000000211	YBR007C	DSF2	Deletion Suppressor of mptFive/pufFive mutation	""	2211
S000000212	YBR008C	FLR1	FLuconazole Resistance	""	1647
S000000213	YBR009C	HHF1	Histone H Four	""	312
S000000214	YBR010W	HHT1	Histone H Three	BUR5 SIN2	411
S000000215	YBR011C	IPP1	Inorganic PyroPhosphatase	PPA1	864
S000000216	YBR012C	""	""	""	420
S000000217	YBR013C	""	""	""	390
S000000218	YBR014C	GRX7	GlutaRedoXin	glutathione-disulfide reductase GRX7	612
S000000219	YBR015C	MNN2	MaNNosyltransferase	LDB8 CRV4 TTP1	1794
S000000220	YBR016W	""	""	""	387
S000000221	YBR017C	KAP104	KAryoPherin	""	2757
S000000222	YBR018C	GAL7	GALactose metabolism	UDP-glucose:hexose-1-phosphate uridylyltransferase	1101
S000000223	YBR019C	GAL10	GALactose metabolism	bifunctional UDP-glucose 4-epimerase/aldose 1-epimerase	2100
S000000224	YBR020W	GAL1	GALactose metabolism	galactokinase	1587
S000000225	YBR021W	FUR4	5-FlUoRouridine sensitivity	""	1902
S000000226	YBR022W	POA1	Phosphatase Of ADP-ribose 1"-phosphate	""	534
S000000227	YBR023C	CHS3	CHitin Synthase-related	chitin synthase CHS3 KTI2 DIT101 CSD2 CAL1	3498
S000000228	YBR024W	SCO2	Suppressor of Cytochrome Oxidase deficiency	""	906
S000000229	YBR025C	OLA1	Obg-Like ATPase	""	1185
S000000230	YBR026C	ETR1	2-Enoyl Thioester Reductase	MRF1 MRF1' 2-enoyl thioester reductase, E.C. 1.3.1.-	1143
S000000231	YBR027C	""	""	""	333
S000000232	YBR028C	YPK3	""	""	1578
S000000233	YBR029C	CDS1	CDP-Diacylglycerol Synthase	phosphatidate cytidylyltransferase CDG1	1374
S000000234	YBR030W	RKM3	Ribosomal lysine (K) Methyltransferase	""	1659
S000000235	YBR031W	RPL4A	Ribosomal Protein of the Large subunit	YL2 ribosomal 60S subunit protein L4A L2A L4A L4 rp2	1089
S000000236	YBR032W	""	""	""	303
S000000237	YBR033W	EDS1	Expression Dependent on Slt2	""	2760
S000000238	YBR034C	HMT1	HnRNP MethylTransferase	RMT1 ODP1 HCP1	1047
S000000239	YBR035C	PDX3	PyriDoXine auxotrophy	pyridoxamine-phosphate oxidase PDX3	687
S000000240	YBR036C	CSG2	Calcium Sensitive Growth	mannosylinositol phosphorylceramide synthase regulatory subunit CLS2	1233
S000000241	YBR037C	SCO1	Suppressor of Cytochrome Oxidase deficiency	PET161	888
S000000242	YBR038W	CHS2	CHitin Synthase	chitin synthase CHS2	2892
S000000243	YBR039W	ATP3	ATP synthase	F1F0 ATP synthase subunit gamma	936
S000000244	YBR040W	FIG1	Factor-Induced Gene	""	897
S000000245	YBR041W	FAT1	FATty acid transporter	long-chain fatty acid transporter FAT1	2010
S000000246	YBR042C	CST26	Chromosome STability	PSI1	1194
S000000247	YBR043C	QDR3	QuiniDine Resistance	AQR2	2070
S000000248	YBR044C	TCM62	TriCarboxylic acid cycle Mutant	""	1719
S000000249	YBR045C	GIP1	Glc7-Interacting Protein	""	1920
S000000250	YBR046C	ZTA1	ZeTA-crystallin	""	1005
S000000251	YBR047W	FMP23	Found in Mitochondrial Proteome	""	528
S000000252	YBR048W	RPS11B	Ribosomal Protein of the Small subunit	S11B S18B ribosomal 40S subunit protein S11B S17 rp41B YS12	982
S000000253	YBR049C	REB1	RNA polymerase I Enhancer Binding protein	GRF2	2433
S000000254	YBR050C	REG2	REsistance to Glucose repression	""	1017
S000000255	YBR051W	""	""	""	351
S000000256	YBR052C	RFS1	Rad55 (Fifty-five) Suppressor	""	633
S000000257	YBR053C	""	""	""	1077
S000000258	YBR054W	YRO2	""	""	1035
S000000259	YBR055C	PRP6	Pre-mRNA Processing	TSM7269 RNA6	2700
S000000260	YBR056W	""	""	17-beta-hydroxysteroid dehydrogenase-like protein	1506
S000000261	YBR057C	MUM2	MUddled Meiosis	SPOT8	1101
S000000262	YBR058C	UBP14	UBiquitin-specific Protease	GID6	2346
S000000263	YBR059C	AKL1	Ark family Kinase-Like protein	""	3327
S000000264	YBR060C	ORC2	Origin Recognition Complex	origin recognition complex subunit 2 SIR5 RRR1	1863
S000000265	YBR061C	TRM7	Transfer RNA Methyltransferase	2'-O-ribose tRNA anticodon loop methyltransferase	933
S000000266	YBR062C	""	""	""	625
S000000267	YBR063C	""	""	""	1215
S000000268	YBR064W	""	""	""	429
S000000269	YBR065C	ECM2	ExtraCellular Mutant	SLT11	1095
S000000270	YBR066C	NRG2	Negative Regulator of Glucose-controlled genes	""	663
S000000271	YBR067C	TIP1	Temperature shock-Inducible Protein	""	633
S000000272	YBR068C	BAP2	Branched-chain Amino acid Permease	""	1830
S000000273	YBR069C	TAT1	Tyrosine and tryptophan Amino acid Transporter	TAP1 VAP1	1860
S000000274	YBR070C	ALG14	Asparagine Linked Glycosylation	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase anchoring subunit ALG14	714
S000000275	YBR071W	""	""	""	636
S000000276	YBR072W	HSP26	Heat Shock Protein	""	645
S000000277	YBR073W	RDH54	RaD54 Homolog	TID1 DNA-dependent ATPase RDH54	2877
S000000278	YBR074W	PFF1	Protease in FXNA-related Family	YBR075W	2931
S000000280	YBR076W	ECM8	ExtraCellular Mutant	""	1065
S000000281	YBR077C	SLM4	Synthetic Lethal with Mss4	EGO3 GSE1 NIR1	489
S000000282	YBR078W	ECM33	ExtraCellular Mutant	""	1620
S000000283	YBR079C	RPG1	""	TIF32	2895
S000000284	YBR080C	SEC18	SECretory	ANU4	2277
S000000285	YBR081C	SPT7	SuPpressor of Ty's	GIT2	3999
S000000286	YBR082C	UBC4	UBiquitin-Conjugating	E2 ubiquitin-conjugating protein UBC4	542
S000000287	YBR083W	TEC1	Transposon Enhancement Control	ROC1	1461
S000000288	YBR084W	MIS1	MItochondrial C1-tetrahydrofolate Synthase	trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase MIS1	2928
S000000289	YBR085W	AAC3	ADP/ATP Carrier	ANC3	924
S000000290	YBR086C	IST2	Increased Sodium Tolerance	""	2841
S000000291	YBR087W	RFC5	Replication Factor C	replication factor C subunit 5	1065
S000000292	YBR088C	POL30	POLymerase	PCNA	777
S000000293	YBR089W	""	""	""	600
S000000294	YBR090C	""	""	""	726
S000000295	YBR091C	TIM12	Translocase of the Inner Membrane	MRS5	330
S000000296	YBR092C	PHO3	PHOsphate metabolism	phoC	1404
S000000297	YBR093C	PHO5	PHOsphate metabolism	phoE	1404
S000000298	YBR094W	PBY1	P-BodY associated protein	""	2262
S000000299	YBR095C	RXT2	""	RAF60	1293
S000000300	YBR096W	""	""	""	693
S000000301	YBR097W	VPS15	Vacuolar Protein Sorting	VPL19 VAC4 GRD8 VPS40	4365
S000000302	YBR098W	MMS4	Methyl MethaneSulfonate sensitivity	SLX2 YBR100W	2076
S000000303	YBR099C	""	""	""	384
S000000305	YBR101C	FES1	Factor Exchange for Ssa1p	""	873
S000000306	YBR102C	EXO84	EXOcyst	USA3	2262
S000000307	YBR103W	SIF2	Sir4p-Interacting Factor	EMB1	1608
S000000308	YBR104W	YMC2	Yeast Mitochondrial Carrier	""	990
S000000309	YBR105C	VID24	Vacuolar Import and Degradation	GID4 glucose-induced degradation complex subunit VID24	1089
S000000310	YBR106W	PHO88	PHOsphate metabolism	""	567
S000000311	YBR107C	IML3	Increased Minichromosome Loss	MCM19	738
S000000312	YBR108W	AIM3	Altered Inheritance rate of Mitochondria	""	2844
S000000313	YBR109C	CMD1	CalMoDulin	CaM	444
S000000314	YBR110W	ALG1	Asparagine-Linked Glycosylation	chitobiosyldiphosphodolichol beta-1,4 mannosyltransferase	1350
S000000315	YBR111C	YSA1	""	RMA2	696
S000000316	YBR112C	CYC8	CYtochrome C	SSN6 [OCT] [OCT1+] CRT8	2901
S000000317	YBR113W	""	""	""	483
S000000318	YBR114W	RAD16	RADiation sensitive	PSO5	2373
S000000319	YBR115C	LYS2	LYSine requiring	L-aminoadipate-semialdehyde dehydrogenase	4179
S000000320	YBR116C	""	""	""	528
S000000321	YBR117C	TKL2	TransKetoLase	transketolase TKL2	2046
S000000322	YBR118W	TEF2	Translation Elongation Factor	eEF1A EF-1 alpha	1377
S000000323	YBR119W	MUD1	Mutant U1 Die	U1A U1-A	986
S000000324	YBR120C	CBP6	Cytochrome B Protein synthesis	""	489
S000000325	YBR121C	GRS1	Glycyl-tRNA Synthase	glycine--tRNA ligase glycyl-tRNA synthetase	2004
S000000326	YBR122C	MRPL36	Mitochondrial Ribosomal Protein, Large subunit	mitochondrial 54S ribosomal protein YmL36 YmL36	534
S000000327	YBR123C	TFC1	Transcription Factor class C	tau 95	1950
S000000328	YBR124W	""	""	""	360
S000000329	YBR125C	PTC4	Phosphatase Two C	GCT1	1182
S000000330	YBR126C	TPS1	Trehalose-6-Phosphate Synthase	FDP1 BYP1 CIF1 alpha,alpha-trehalose-phosphate synthase (UDP-forming) TPS1 GGS1 GLC6 TSS1	1488
S000000331	YBR127C	VMA2	Vacuolar Membrane Atpase	ATPSV VAT2	1554
S000000332	YBR128C	ATG14	AuTophaGy related	APG14 CVT12	1035
S000000333	YBR129C	OPY1	Overproduction-induced Pheromone-resistant Yeast	""	987
S000000334	YBR130C	SHE3	Swi5p-dependent HO Expression	""	1278
S000000335	YBR131W	CCZ1	Calcium Caffeine Zinc sensitivity	CVT16	2115
S000000336	YBR132C	AGP2	high-Affinity Glutamine Permease	""	1791
S000000337	YBR133C	HSL7	Histone Synthetic Lethal	""	2484
S000000338	YBR134W	""	""	""	402
S000000339	YBR135W	CKS1	Cdc28 Kinase Subunit	""	453
S000000340	YBR136W	MEC1	Mitosis Entry Checkpoint	RAD31 ESR1 SAD3	7107
S000000341	YBR137W	""	""	""	540
S000000342	YBR138C	""	""	HDR1	1575
S000000343	YBR139W	""	""	carboxypeptidase C	1527
S000000344	YBR140C	IRA1	Inhibitory Regulator of the RAS-cAMP pathway	PPD1 GLC1	9279
S000000345	YBR141C	BMT2	Base MethylTransferase of 25S RNA	""	1014
S000000346	YBR142W	MAK5	MAintenance of Killer	""	2322
S000000347	YBR143C	SUP45	SUPpressor	SUP47 SUP1 SAL4 eRF1	1314
S000000348	YBR144C	""	""	""	315
S000000349	YBR145W	ADH5	Alcohol DeHydrogenase	alcohol dehydrogenase ADH5	1056
S000000350	YBR146W	MRPS9	Mitochondrial Ribosomal Protein, Small subunit	mitochondrial 37S ribosomal protein MRPS9	837
S000000351	YBR147W	RTC2	Restriction of Telomere Capping	YPQ3 RRT11	891
S000000352	YBR148W	YSW1	""	""	1830
S000000353	YBR149W	ARA1	D-ARAbinose dehydrogenase	D-arabinose 1-dehydrogenase (NAD(P)(+)) ARA1	1035
S000000354	YBR150C	TBS1	ThiaBendazole Sensitive	""	3285
S000000355	YBR151W	APD1	Actin Patches Distal	""	951
S000000356	YBR152W	SPP381	Suppressor of PrP38-1	""	876
S000000357	YBR153W	RIB7	RIBoflavin biosynthesis	""	735
S000000358	YBR154C	RPB5	RNA Polymerase B	ABC27	648
S000000359	YBR155W	CNS1	CyclophiliN Seven suppressor	""	1158
S000000360	YBR156C	SLI15	Synthetically Lethal with Ipl1	""	2097
S000000361	YBR157C	ICS2	Increased Copper Sensitivity	""	768
S000000362	YBR158W	AMN1	Antagonist of Mitotic exit Network	ICS4 CST13	1650
S000000363	YBR159W	IFA38	""	ketoreductase	1044
S000000364	YBR160W	CDC28	Cell Division Cycle	SRM5 CDK1 HSL5	897
S000000365	YBR161W	CSH1	CSG1/SUR1 Homolog	mannosylinositol phosphorylceramide synthase catalytic subunit CSH1	1131
S000000366	YBR162C	TOS1	Target Of Sbf	""	1368
S000000367	YBR163W	EXO5	EXOnuclease V	DEM1	1758
S000000368	YBR164C	ARL1	ADP-Ribosylation factor-Like	DLP2	552
S000000369	YBR165W	UBS1	UBiquitin-conjugating enzyme Suppressor	""	834
S000000370	YBR166C	TYR1	TYRosine requiring	pprephenate dehydrogenase (NADP(+))	1359
S000000371	YBR167C	POP7	Processing Of Precursor RNAs	RPP2	423
S000000372	YBR168W	PEX32	PEroXisome related	""	1242
S000000373	YBR169C	SSE2	""	""	2082
S000000374	YBR170C	NPL4	Nuclear Protein Localization	HRD4	1743
S000000375	YBR171W	SEC66	SECretory	HSS1 SEC71	621
S000000376	YBR172C	SMY2	Suppressor of MYo2-66	""	2223
S000000377	YBR173C	UMP1	Ubiquitin-Mediated Proteolysis	RNS2	447
S000000378	YBR174C	""	""	""	315
S000000379	YBR175W	SWD3	Set1c, WD40 repeat protein	SAF35 CPS30	948
S000000380	YBR176W	ECM31	ExtraCellular Mutant	3-methyl-2-oxobutanoate hydroxymethyltransferase	939
